sku,name of article,price
SKU00001,Freshly-Baked Bread,85.82
SKU00002,Rich Yogurt,17.57
SKU00003,Crispy Muffin,59.05
SKU00004,Silky Foundation,68.8
SKU00005,Crispy Bagel,66.19
SKU00006,Nutritious Cat Food,13.77
SKU00007,Fluffy Baguette,59.99
SKU00008,Multi-Surface Sanitizer,2.61
SKU00009,Zesty Juice,53.25
SKU00010,Organic Tomato,66.32
SKU00011,Luxury Cream,39.34
SKU00012,Multi-Surface Disinfectant,22.61
SKU00013,Icy Coffee,10.34
SKU00014,Fresh Apple,38.42
SKU00015,Radiant Cream,55.17
SKU00016,Elegant Lotion,34.06
SKU00017,Luxury Lotion,83.37
SKU00018,Nutritious Kitten Kibble,23.16
SKU00019,Refreshing Coffee,40.49
SKU00020,Organic Milk,34.03
SKU00021,Eco-Friendly Soap,92.58
SKU00022,Sweet Crackers,56.31
SKU00023,Radiant Foundation,24.96
SKU00024,Organic Yogurt,93.65
SKU00025,Fresh Cream,3.39
SKU00026,Crunchy Nuts,21.28
SKU00027,Zesty Soda,75.23
SKU00028,Ripe Apple,30.75
SKU00029,Smooth Lotion,15.76
SKU00030,Elegant Lotion,37.14
SKU00031,Ripe Carrot,74.42
SKU00032,Fresh Lettuce,18.52
SKU00033,Silky Lotion,65.81
SKU00034,Local Tomato,19.46
SKU00035,Elegant Foundation,70.58
SKU00036,Crispy Baguette,74.95
SKU00037,Ripe Tomato,53.97
SKU00038,Powerful Disinfectant,55.31
SKU00039,Silky Cream,13.5
SKU00040,Chilled Soda,87.16
SKU00041,Multi-Surface Sanitizer,85.24
SKU00042,Farm-Fresh Yogurt,77.5
SKU00043,Fresh Apple,85.02
SKU00044,Homemade Muffin,85.67
SKU00045,Nutritious Dog Food,82.22
SKU00046,Organic Yogurt,42.26
SKU00047,Elegant Perfume,99.55
SKU00048,Organic Cucumber,27.19
SKU00049,Luxury Lipstick,82.6
SKU00050,Powerful Sanitizer,48.37
SKU00051,Refreshing Water,46.08
SKU00052,Freshly-Baked Baguette,1.38
SKU00053,Creamy Yogurt,43.38
SKU00054,Creamy Cheese,59.07
SKU00055,Deep-Clean Sanitizer,7.31
SKU00056,Rich Cheese,1.18
SKU00057,Artisan Croissant,73.67
SKU00058,Healthy Dog Food,69.15
SKU00059,Organic Cucumber,28.92
SKU00060,Icy Coffee,1.48
SKU00061,Creamy Yogurt,58.07
SKU00062,Powerful Disinfectant,58.54
SKU00063,Crispy Croissant,16.43
SKU00064,Sweet Crackers,97.11
SKU00065,Fresh Butter,91.18
SKU00066,Icy Tea,25.64
SKU00067,Radiant Foundation,29.33
SKU00068,Silky Lotion,73.18
SKU00069,Wholesome Puppy Chow,29.63
SKU00070,Crispy Croissant,3.46
SKU00071,Luxury Perfume,25.54
SKU00072,Savory Nuts,5.81
SKU00073,Powerful Disinfectant,65.9
SKU00074,Wholesome Dog Food,83.8
SKU00075,Sparkling Soap,28.56
SKU00076,Artisan Baguette,27.2
SKU00077,Freshly-Baked Bagel,6.81
SKU00078,Creamy Butter,1.64
SKU00079,Radiant Cream,59.44
SKU00080,Radiant Perfume,62.82
SKU00081,Deep-Clean Detergent,30.35
SKU00082,Fresh Cucumber,21.08
SKU00083,Seasonal Cucumber,97.37
SKU00084,Powerful Detergent,5.57
SKU00085,Icy Water,51.55
SKU00086,Organic Cheese,65.43
SKU00087,Local Carrot,25.68
SKU00088,Eco-Friendly Detergent,58.58
SKU00089,Delicious Pet Treats,2.82
SKU00090,Crispy Muffin,7.2
SKU00091,Crunchy Cookies,90.55
SKU00092,Local Cucumber,10.65
SKU00093,Organic Lettuce,7.08
SKU00094,Organic Cream,3.93
SKU00095,Nutritious Cat Food,94.28
SKU00096,Multi-Surface Soap,85.97
SKU00097,Wholesome Dog Food,71.85
SKU00098,Rich Milk,50.83
SKU00099,Artisan Croissant,24.39
SKU00100,Wholesome Puppy Chow,99.56
SKU00101,Zesty Coffee,65.15
SKU00102,Sparkling Water,35.73
SKU00103,Multi-Surface Cleaner,82.06
SKU00104,Radiant Lotion,91.65
SKU00105,Creamy Yogurt,71.77
SKU00106,Icy Soda,1.52
SKU00107,Savory Chips,88.2
SKU00108,Savory Nuts,54.76
SKU00109,Premium Dog Food,65.88
SKU00110,Creamy Butter,97.28
SKU00111,Rich Butter,33.42
SKU00112,Elegant Lotion,14.15
SKU00113,Crispy Muffin,84.89
SKU00114,Fluffy Baguette,46.27
SKU00115,Fluffy Bread,81.38
SKU00116,Healthy Cat Food,30.14
SKU00117,Refreshing Coffee,79.13
SKU00118,Chilled Soda,52.88
SKU00119,Sparkling Soda,83.7
SKU00120,Deep-Clean Disinfectant,89.67
SKU00121,Freshly-Baked Muffin,40.41
SKU00122,Seasonal Banana,75.65
SKU00123,Deep-Clean Soap,78.87
SKU00124,Multi-Surface Cleaner,64.24
SKU00125,Premium Kitten Kibble,35.58
SKU00126,Refreshing Coffee,9.8
SKU00127,Premium Kitten Kibble,83.47
SKU00128,Organic Banana,35.51
SKU00129,Seasonal Carrot,23.16
SKU00130,Icy Water,35.28
SKU00131,Farm-Fresh Butter,67.59
SKU00132,Sparkling Sanitizer,91.28
SKU00133,Artisan Bagel,51.67
SKU00134,Creamy Milk,4.76
