supermarket_id,supermarket_name
STORE0001,Alameda de Concepción Mercader 34
STORE0002,Cuesta de Sandalio Muñoz 30
STORE0003,Vial Consuelo Osuna 72
STORE0004,Pasaje de Cornelio Asensio 62
STORE0005,Acceso de Lara Solsona 111
STORE0006,Camino Rita Solsona 51
STORE0007,Ronda de Onofre Herrero 3
STORE0008,C. de Horacio Anguita 8
STORE0009,Plaza de Ruperta Badía 84
STORE0010,Alameda Lourdes Gisbert 8
STORE0011,Pasaje de Jafet Alcázar 47
STORE0012,Urbanización Eloísa Vizcaíno 270
STORE0013,Cañada de Delfina Portillo 3
STORE0014,Acceso Elvira Alcalde 855
STORE0015,Alameda de Ana Sofía Egea 4
STORE0016,Calle Yésica Fuentes 90
STORE0017,Avenida de Joaquina Borrell 46
STORE0018,Plaza de Fabiola Chacón 775
STORE0019,Via Carolina Gascón 10
STORE0020,Cañada de Jordán Colom 97
STORE0021,Pasaje Leocadia Aguilar 83
STORE0022,Ronda de Emilia Ureña 73
STORE0023,Pasadizo Marcial Moll 4
STORE0024,Glorieta Darío Tapia 92
STORE0025,C. Roque Bayo 39
STORE0026,Calle de Victor Lobo 21
STORE0027,Calle de Erasmo Llorens 79
STORE0028,Cuesta de Ale Perelló 38
STORE0029,Vial de Cándida Morante 6
STORE0030,Plaza de Aurelio Navas 661
STORE0031,Acceso de Nazaret Díez 51
STORE0032,Alameda de Lupe Pablo 723
STORE0033,C. de Rolando Nadal 54
STORE0034,Acceso Rosalía Álamo 824
STORE0035,Pasadizo de Aránzazu Rozas 18
STORE0036,Via de Victor Manuel Español 58
STORE0037,Alameda Inés Navarrete 58
STORE0038,Callejón de Amparo Montesinos 158
STORE0039,Paseo Gregorio Ibarra 45
STORE0040,Camino de Natividad Torre 80
STORE0041,Callejón Sandra Amorós 76
STORE0042,Rambla de Curro Prieto 37
STORE0043,Cañada Olivia Gómez 34
STORE0044,Rambla de Elías Camacho 93
STORE0045,Vial de Paloma Tolosa 3
STORE0046,Plaza de Maricruz Villegas 7
STORE0047,Vial de Vito Cabo 39
STORE0048,Ronda de Benito Tur 9
STORE0049,Urbanización Sebastian Moles 9
STORE0050,Rambla de Pepe Rosell 506
STORE0051,Cañada de Reinaldo Gómez 552
STORE0052,Cuesta de Amelia Moll 45
STORE0053,Cuesta Irene Acedo 46
STORE0054,Avenida Federico Barbero 95
STORE0055,Paseo de Manu Donaire 7
STORE0056,Pasaje Maricruz Bosch 94
STORE0057,Alameda María Ángeles Cabezas 29
STORE0058,Camino de Berto Hernández 73
STORE0059,Plaza de Magdalena Arellano 1
STORE0060,Acceso Claudia Corral 82
STORE0061,Avenida de Hector Valls 29
STORE0062,Vial de Alma Canales 62
STORE0063,Alameda de Natividad Bautista 429
STORE0064,Alameda Pastor Barrena 84
STORE0065,Avenida de Alberto Martí 93
STORE0066,Pasaje Daniela Merino 917
STORE0067,Pasaje de Aura Goicoechea 62
STORE0068,Vial de Alexandra Batalla 65
STORE0069,Urbanización de Tere Trujillo 50
STORE0070,Via de Francisco Jose Lago 172
STORE0071,Acceso de Fortunata Piñeiro 277
STORE0072,Pasaje de Jose Antonio Simó 91
STORE0073,Vial de Ángel Sedano 62
STORE0074,C. de Ciro Macías 211
STORE0075,Paseo de Clemente Gordillo 305
STORE0076,Alameda de Trinidad Ruano 19
STORE0077,Cuesta de África Serrano 53
STORE0078,Acceso de Celso Soria 22
STORE0079,Cuesta Luís Huertas 8
STORE0080,Camino de Adán Rojas 78
STORE0081,Vial de Rosaura Criado 4
STORE0082,Vial Oriana Vendrell 11
STORE0083,Plaza Manolo Martorell 8
STORE0084,Camino Prudencio Lerma 47
STORE0085,Camino Amada Fuente 65
STORE0086,C. de Jacinta Sevilla 92
STORE0087,Avenida de Virgilio Galván 9
STORE0088,Cuesta de Ofelia Priego 66
STORE0089,Camino de Reynaldo Gimeno 81
STORE0090,Urbanización Candelas Tamarit 23
STORE0091,Via Vidal Font 62
STORE0092,Cuesta Paula Torrijos 32
STORE0093,Avenida de Estrella Vicens 89
STORE0094,Vial de María Luisa Andres 5
STORE0095,C. de Ofelia Adán 24
STORE0096,Rambla Saturnina Barros 65
STORE0097,Paseo de Mirta Pons 1
STORE0098,Paseo Marita Lara 7
STORE0099,Plaza de Morena Benitez 37
STORE0100,Urbanización Plinio Leon 42
STORE0101,Cañada Hilario Vélez 34
STORE0102,Via de Gonzalo Segovia 8
STORE0103,Plaza de Edgardo Gimeno 72
STORE0104,Cuesta Violeta Mir 47
STORE0105,Glorieta de Glauco Feliu 204
STORE0106,Pasaje Jose Carlos González 4
STORE0107,Rambla Berto Arias 945
STORE0108,Via Reyes Terrón 22
STORE0109,Acceso de Nadia Sureda 36
STORE0110,Calle Valentín Infante 600
STORE0111,Via de Ibán Rosselló 29
STORE0112,Pasaje Octavio Marí 9
STORE0113,Via Salvador Ochoa 42
STORE0114,Cuesta Che Miralles 101
STORE0115,Cañada Salomón Amaya 17
STORE0116,Avenida de Ester Viñas 66
STORE0117,Via Flor Armengol 28
STORE0118,Pasadizo de Samuel Corominas 75
STORE0119,Ronda de Aura Amo 23
STORE0120,Acceso Ani Castilla 243
STORE0121,Acceso Venceslás Oliva 47
STORE0122,Pasadizo de Cristian Cáceres 48
STORE0123,Via de Agustín Vergara 6
STORE0124,Glorieta de Roberto Solís 94
STORE0125,Ronda Dorotea Rozas 15
STORE0126,Camino de Quirino Perea 17
STORE0127,Pasadizo de Amparo Amaya 9
STORE0128,Rambla de Prudencio Carlos 61
